Абсолютный путь;Относительный путь;Класс
C:\Users\misha\mishalabs\second_lab\dataset\cat\0001.jpg;dataset/changed_dataset/cat_0001.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0002.jpg;dataset/changed_dataset/cat_0002.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0003.jpg;dataset/changed_dataset/cat_0003.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0004.jpg;dataset/changed_dataset/cat_0004.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0005.jpg;dataset/changed_dataset/cat_0005.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0006.jpg;dataset/changed_dataset/cat_0006.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0007.jpg;dataset/changed_dataset/cat_0007.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0008.jpg;dataset/changed_dataset/cat_0008.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0009.jpg;dataset/changed_dataset/cat_0009.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0010.jpg;dataset/changed_dataset/cat_0010.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0011.jpg;dataset/changed_dataset/cat_0011.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0012.jpg;dataset/changed_dataset/cat_0012.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0013.jpg;dataset/changed_dataset/cat_0013.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0014.jpg;dataset/changed_dataset/cat_0014.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0015.jpg;dataset/changed_dataset/cat_0015.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0016.jpg;dataset/changed_dataset/cat_0016.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0017.jpg;dataset/changed_dataset/cat_0017.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0018.jpg;dataset/changed_dataset/cat_0018.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0019.jpg;dataset/changed_dataset/cat_0019.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0020.jpg;dataset/changed_dataset/cat_0020.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0021.jpg;dataset/changed_dataset/cat_0021.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0022.jpg;dataset/changed_dataset/cat_0022.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0023.jpg;dataset/changed_dataset/cat_0023.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0024.jpg;dataset/changed_dataset/cat_0024.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0025.jpg;dataset/changed_dataset/cat_0025.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0026.jpg;dataset/changed_dataset/cat_0026.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0027.jpg;dataset/changed_dataset/cat_0027.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0028.jpg;dataset/changed_dataset/cat_0028.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0029.jpg;dataset/changed_dataset/cat_0029.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0030.jpg;dataset/changed_dataset/cat_0030.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0031.jpg;dataset/changed_dataset/cat_0031.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0032.jpg;dataset/changed_dataset/cat_0032.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0033.jpg;dataset/changed_dataset/cat_0033.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0034.jpg;dataset/changed_dataset/cat_0034.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0035.jpg;dataset/changed_dataset/cat_0035.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0036.jpg;dataset/changed_dataset/cat_0036.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0037.jpg;dataset/changed_dataset/cat_0037.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0038.jpg;dataset/changed_dataset/cat_0038.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0039.jpg;dataset/changed_dataset/cat_0039.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0040.jpg;dataset/changed_dataset/cat_0040.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0041.jpg;dataset/changed_dataset/cat_0041.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0042.jpg;dataset/changed_dataset/cat_0042.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0043.jpg;dataset/changed_dataset/cat_0043.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0044.jpg;dataset/changed_dataset/cat_0044.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0045.jpg;dataset/changed_dataset/cat_0045.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0046.jpg;dataset/changed_dataset/cat_0046.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0047.jpg;dataset/changed_dataset/cat_0047.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0048.jpg;dataset/changed_dataset/cat_0048.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0049.jpg;dataset/changed_dataset/cat_0049.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0050.jpg;dataset/changed_dataset/cat_0050.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0051.jpg;dataset/changed_dataset/cat_0051.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0052.jpg;dataset/changed_dataset/cat_0052.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0053.jpg;dataset/changed_dataset/cat_0053.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0054.jpg;dataset/changed_dataset/cat_0054.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0055.jpg;dataset/changed_dataset/cat_0055.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0056.jpg;dataset/changed_dataset/cat_0056.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0057.jpg;dataset/changed_dataset/cat_0057.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0058.jpg;dataset/changed_dataset/cat_0058.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0059.jpg;dataset/changed_dataset/cat_0059.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0060.jpg;dataset/changed_dataset/cat_0060.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0061.jpg;dataset/changed_dataset/cat_0061.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0062.jpg;dataset/changed_dataset/cat_0062.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0063.jpg;dataset/changed_dataset/cat_0063.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0064.jpg;dataset/changed_dataset/cat_0064.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0065.jpg;dataset/changed_dataset/cat_0065.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0066.jpg;dataset/changed_dataset/cat_0066.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0067.jpg;dataset/changed_dataset/cat_0067.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0068.jpg;dataset/changed_dataset/cat_0068.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0069.jpg;dataset/changed_dataset/cat_0069.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0070.jpg;dataset/changed_dataset/cat_0070.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0071.jpg;dataset/changed_dataset/cat_0071.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0072.jpg;dataset/changed_dataset/cat_0072.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0073.jpg;dataset/changed_dataset/cat_0073.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0074.jpg;dataset/changed_dataset/cat_0074.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0075.jpg;dataset/changed_dataset/cat_0075.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0076.jpg;dataset/changed_dataset/cat_0076.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0077.jpg;dataset/changed_dataset/cat_0077.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0078.jpg;dataset/changed_dataset/cat_0078.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0079.jpg;dataset/changed_dataset/cat_0079.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0080.jpg;dataset/changed_dataset/cat_0080.jpg;cat
