Абсолютный путь;Относительный путь;Класс
C:\Users\misha\mishalabs\second_lab\dataset\cat\0001.jpg;dataset/random_dataset/5190.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0002.jpg;dataset/random_dataset/6578.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0003.jpg;dataset/random_dataset/3755.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0004.jpg;dataset/random_dataset/9760.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0005.jpg;dataset/random_dataset/8887.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0006.jpg;dataset/random_dataset/2731.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0007.jpg;dataset/random_dataset/3602.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0008.jpg;dataset/random_dataset/0430.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0009.jpg;dataset/random_dataset/0762.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0010.jpg;dataset/random_dataset/6477.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0011.jpg;dataset/random_dataset/7001.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0012.jpg;dataset/random_dataset/0548.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0013.jpg;dataset/random_dataset/0825.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0014.jpg;dataset/random_dataset/1899.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0015.jpg;dataset/random_dataset/8700.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0016.jpg;dataset/random_dataset/0427.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0017.jpg;dataset/random_dataset/9980.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0018.jpg;dataset/random_dataset/5091.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0019.jpg;dataset/random_dataset/4717.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0020.jpg;dataset/random_dataset/2202.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0021.jpg;dataset/random_dataset/8826.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0022.jpg;dataset/random_dataset/1541.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0023.jpg;dataset/random_dataset/3923.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0024.jpg;dataset/random_dataset/2852.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0025.jpg;dataset/random_dataset/0463.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0026.jpg;dataset/random_dataset/6611.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0027.jpg;dataset/random_dataset/0343.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0028.jpg;dataset/random_dataset/4218.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0029.jpg;dataset/random_dataset/2545.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0030.jpg;dataset/random_dataset/6018.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0031.jpg;dataset/random_dataset/8822.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0032.jpg;dataset/random_dataset/2549.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0033.jpg;dataset/random_dataset/3794.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0034.jpg;dataset/random_dataset/6814.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0035.jpg;dataset/random_dataset/6748.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0036.jpg;dataset/random_dataset/0079.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0037.jpg;dataset/random_dataset/8946.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0038.jpg;dataset/random_dataset/3271.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0039.jpg;dataset/random_dataset/2758.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0040.jpg;dataset/random_dataset/9806.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0041.jpg;dataset/random_dataset/1956.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0042.jpg;dataset/random_dataset/4124.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0043.jpg;dataset/random_dataset/0976.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0044.jpg;dataset/random_dataset/9977.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0045.jpg;dataset/random_dataset/9136.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0046.jpg;dataset/random_dataset/2900.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0047.jpg;dataset/random_dataset/6577.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0048.jpg;dataset/random_dataset/2158.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0049.jpg;dataset/random_dataset/9720.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0050.jpg;dataset/random_dataset/2185.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0051.jpg;dataset/random_dataset/9358.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0052.jpg;dataset/random_dataset/6228.jpg;cat
C:\Users\misha\mishalabs\second_lab\dataset\cat\0053.jpg;dataset/random_dataset/8548.jpg;cat
